Row,Column,Block,Population,Family,Replicate,Alive_DC1,Comment,Young_leaf_collected?,Date_leaf_coll,Date_oldest_inflor_flower,Date_youngest_inflor_flower,RETURN follicles?,RETURN_floral?,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3,Date_first_follicle_2in
1,1,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,
